number,player,team,position,height,weight,birth_date,country,experience,college
31,Jarrett Allen,CLE,C,81,243,"April 21, 1998",US,7,Texas
21,Emoni Bates,CLE,SF,81,202,"January 28, 2004",US,1,"Memphis, Eastern Michigan"
10,Darius Garland,CLE,PG,73,192,"January 26, 2000",US,5,Vanderbilt
8,Javonte Green,CLE,SG,77,205,"July 23, 1993",US,5,Radford
12,De'Andre Hunter,CLE,SF,79,221,"December 2, 1997",US,5,Virginia
2,Ty Jerome,CLE,SG,77,195,"July 8, 1997",US,5,Virginia
3,Caris LeVert,CLE,SF,79,205,"August 25, 1994",US,8,Michigan
5,Sam Merrill,CLE,SG,76,205,"May 15, 1996",US,4,Utah State University
45,Donovan Mitchell,CLE,SG,74,215,"September 7, 1996",US,7,Louisville
4,Evan Mobley,CLE,PF,83,215,"June 18, 2001",US,3,USC
20,Georges Niang,CLE,PF,78,230,"June 17, 1993",US,8,Iowa State
18,Chuma Okeke,CLE,PF,79,229,"August 18, 1998",US,4,Auburn
35,Isaac Okoro,CLE,SG,76,225,"January 26, 2001",US,4,Auburn
9,Craig Porter Jr.,CLE,PG,73,180,"February 26, 2000",US,1,"Vincennes University, Wichita State"
1,Max Strus,CLE,SF,77,215,"March 28, 1996",US,5,"Lewis (IL), DePaul"
13,Tristan Thompson,CLE,C,81,254,"March 13, 1991",CA,13,Texas
15,JT Thor,CLE,PF,81,203,"August 26, 2002",US,3,Auburn
30,Nae'Qwan Tomlin,CLE,PF,80,210,"December 10, 2000",US,R,"Monroe Community College, Chipola College, Kansas State, Memphis"
33,Luke Travers,CLE,SG,78,207,"September 3, 2001",AU,R,NA
24,Jaylon Tyson,CLE,SG,78,215,"December 2, 2002",US,R,"Texas, Texas Tech, California"
32,Dean Wade,CLE,PF,81,228,"November 20, 1996",US,5,Kansas State
7,Jaylen Brown,BOS,SF,78,223,"October 24, 1996",US,8,California
12,Torrey Craig,BOS,SF,77,221,"December 19, 1990",US,7,USC Upstate
20,JD Davison,BOS,PG,73,195,"October 3, 2002",US,2,Alabama
30,Sam Hauser,BOS,PF,79,217,"December 8, 1997",US,3,"Marquette, Virginia"
4,Jrue Holiday,BOS,PG,76,220,"June 12, 1990",US,15,UCLA
42,Al Horford,BOS,C,80,240,"June 3, 1986",DO,17,Florida
40,Luke Kornet,BOS,C,85,250,"July 15, 1995",US,7,Vanderbilt
44,Miles Norris,BOS,PF,79,220,"April 15, 2000",US,R,"Oregon, City College of San Francisco, UC Santa Barbara"
13,Drew Peterson,BOS,PF,80,205,"November 9, 1999",US,1,"Rice University, USC"
8,Kristaps PorziÅÄ£is,BOS,C,86,240,"August 2, 1995",LV,8,NA
11,Payton Pritchard,BOS,PG,73,195,"January 28, 1998",US,4,Oregon
88,Neemias Queta,BOS,C,84,248,"July 13, 1999",PT,3,Utah State University
55,Baylor Scheierman,BOS,SG,78,205,"September 26, 2000",US,R,"South Dakota State, Creighton"
44,Jaden Springer,BOS,SG,76,202,"September 25, 2002",US,3,Tennessee
