player1,player1_dob,player2,player2_dob,date_match
Serena Williams,1981-09-26,Iva Majoli,1977-08-12,2001-08-13
Serena Williams,1981-09-26,Maria Kirilenko,1987-01-25,2004-05-24
Serena Williams,1981-09-26,Sania Mirza,1986-11-15,2005-01-17
Serena Williams,1981-09-26,Tatiana Perebiynis,1982-12-15,2007-10-08
Serena Williams,1981-09-26,Maria Jose Martinez,1982-08-12,2009-08-31
Serena Williams,1981-09-26,Maria Jose Martinez,1982-08-12,2010-01-11
Serena Williams,1981-09-26,Caroline Wozniacki,1990-07-11,2014-08-25
Serena Williams,1981-09-26,Venus Williams,1980-06-17,2015-06-29
Serena Williams,1981-09-26,Yaroslava Shvedova,1987-09-12,2016-08-29
Serena Williams,1981-09-26,Maria Sakkari,1995-07-25,2020-08-24
